Player,#,Pos,Age,Club,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG
Olivier Giroud,9,FW,36-079,1.itMilan,40,0,0,0,0,0,0,1,0,11,1,0,0,0.0,0.0,0.0
Marcus Thuram,26,"LM,LW",25-134,1.deGladbach,80,0,1,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.1
Kylian Mbappé,10,"FW,LW",23-363,1.frParis S-G,120,3,0,2,2,4,1,0,0,43,0,0,0,1.8,0.2,0.0
Ousmane Dembélé,11,RW,25-217,1.esBarcelona,40,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0
Randal Kolo Muani,12,"FW,RW",24-013,1.deEint Frankfurt,80,0,0,0,0,2,1,0,0,34,3,0,0,0.4,0.4,0.0
Antoine Griezmann,7,AM,31-272,1.esAtlético Madrid,70,0,0,0,0,0,0,0,0,42,3,2,1,0.0,0.0,0.1
Kingsley Coman,20,RM,26-188,1.deBayern Munich,50,0,0,0,0,0,0,0,0,26,3,0,2,0.0,0.0,0.0
Adrien Rabiot,14,"DM,CM",27-259,1.itJuventus,95,0,0,0,0,1,1,1,0,67,2,3,1,0.1,0.1,0.0
Youssouf Fofana,13,CM,23-342,1.frMonaco,25,0,0,0,0,1,0,0,0,15,1,0,1,0.0,0.0,0.0
Aurélien Tchouaméni,8,"DM,CM",22-325,1.esReal Madrid,120,0,0,0,0,0,0,0,0,81,1,2,0,0.0,0.0,0.0
Theo Hernández,22,LB,25-073,1.itMilan,70,0,0,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.0
Eduardo Camavinga,25,LB,20-038,1.esReal Madrid,50,0,0,0,0,0,0,0,0,34,3,0,2,0.0,0.0,0.1
Dayot Upamecano,18,CB,24-052,1.deBayern Munich,120,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.0
Raphaël Varane,4,CB,29-237,1.engManchester Utd,112,0,0,0,0,0,0,0,0,70,0,1,1,0.0,0.0,0.0
Ibrahima Konaté,24,CB,23-207,1.engLiverpool,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.3
Jules Koundé,5,RB,24-036,1.esBarcelona,119,0,0,0,0,0,0,0,0,79,4,1,0,0.0,0.0,0.0
Axel Disasi,3,RB,24-282,1.frMonaco,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hugo Lloris,1,GK,35-357,1.engTottenham,120,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0
18 Players,,,,,"1,320",3,1,2,2,8,3,3,0,735,26,9,12,2.2,0.7,0.6
